0,1,2
3.25,35.2,-37.68
9.01,81.19,-87.05
12.64,97.32,-104.56
13.54,91.05,-98.04
8.84,52.72,-56.91
16.2,86.73,-93.9
22.53,109.36,-118.79
23.79,105.57,-115.08
32.08,131.02,-143.37
14.31,54.1,-59.44
34.34,120.79,-133.33
40.58,133.33,-147.88
43.94,135.4,-150.95
22.02,63.84,-71.56
49.45,135.26,-152.5
51.95,134.43,-152.5
-5.59,13.92,-16.34
-18.31,48.17,-56.2
-10.43,29.09,-33.74
-8.73,25.87,-29.84
-4.99,15.75,-18.07
-7.95,26.86,-30.67
-4.29,15.59,-17.72
-6.66,26.12,-29.56
-5.78,24.63,-27.77
-3.24,15.08,-16.94
-4.79,24.58,-27.53
-3.94,22.47,-25.09
-3.45,22.17,-24.69
-3.17,23.34,-25.93
-1.73,14.85,-16.47
-1.61,16.58,-18.35
-1.24,15.95,-17.64
-0.83,14.18,-15.65
-0.44,11.24,-12.4
-0.28,14.15,-15.6
-0.01,14.76,-16.28
0.24,13.14,-14.49
0.65,17.37,-19.16
0.94,16.62,-18.35
1.44,18.89,-20.88
1.73,18.15,-20.09
1.91,16.64,-18.45
2.37,17.66,-19.61
2.08,13.54,-15.07
4.03,23.23,-25.93
4.47,23.16,-25.93
5.61,26.32,-29.56
8.36,35.86,-40.43
10.04,39.66,-44.87
11.89,43.46,-49.38
14.48,49.24,-56.2
15.42,49.0,-56.2
9.63,28.71,-33.09
33.88,94.99,-110.11
34.95,92.45,-107.79
24.07,60.22,-70.65
-6.77,16.28,-19.78
-10.57,26.85,-32.43
-8.98,24.16,-29.02
-33.2,94.99,-113.46
-35.17,107.26,-127.45
-31.33,102.25,-120.91
-19.26,67.52,-79.48
-6.1,23.08,-27.05
-4.36,17.92,-20.92
-3.27,14.69,-17.09
-2.64,13.07,-15.16
-2.26,12.47,-14.42
-1.84,11.4,-13.15
-1.54,10.9,-12.55
-1.33,10.99,-12.62
-0.54,5.4,-6.2
-0.7,8.63,-9.88
-0.53,8.77,-10.03
-0.35,8.61,-9.83
-0.17,8.26,-9.44
-0.01,7.87,-8.99
0.16,8.65,-9.88
0.21,5.43,-6.21
0.45,7.6,-8.69
0.69,8.8,-10.08
0.66,6.68,-7.66
0.78,6.59,-7.57
1.03,7.43,-8.55
1.3,8.14,-9.39
1.54,8.55,-9.88
1.73,8.65,-10.03
2.02,9.16,-10.66
2.43,10.05,-11.74
2.76,10.54,-12.35
3.41,12.03,-14.16
3.7,12.14,-14.34
4.28,13.12,-15.59
5.04,14.5,-17.31
6.4,17.32,-20.79
12.19,31.13,-37.58
27.98,67.59,-82.12
-3.77,8.75,-11.03
-3.28,8.03,-10.07
-19.93,51.72,-64.42
-42.62,117.55,-145.63
-43.19,126.99,-156.51
-26.08,82.03,-100.62
-3.21,10.86,-13.26
-2.47,9.03,-10.98
-1.36,5.38,-6.51
-1.86,8.05,-9.72
-1.73,8.24,-9.92
-1.48,7.85,-9.42
-1.38,8.25,-9.87
-1.3,8.92,-10.65
-1.08,8.61,-10.26
-0.93,8.92,-10.6
-0.57,6.77,-8.04
-0.54,8.65,-10.26
-0.39,9.15,-10.84
-0.19,8.66,-10.26
-0.01,8.54,-10.11
0.19,9.43,-11.17
0.35,8.66,-10.26
0.52,8.57,-10.16
0.71,8.64,-10.26
0.53,5.2,-6.18
1.06,8.58,-10.21
1.22,8.48,-10.11
1.45,8.78,-10.51
1.59,8.52,-10.21
1.66,8.0,-9.62
1.88,8.22,-9.92
2.02,8.07,-9.77
2.07,7.62,-9.27
2.16,7.35,-8.97
2.28,7.23,-8.87
4.12,12.2,-15.02
4.36,12.1,-14.98
5.44,14.21,-17.69
6.15,15.14,-18.96
8.77,20.42,-25.73
-4.27,9.52,-12.47
-4.08,9.61,-12.51
-22.9,57.19,-74.03
-46.17,122.55,-157.76
-37.28,105.48,-135.07
-16.29,49.32,-62.85
-3.23,10.5,-13.33
-2.82,9.91,-12.51
-1.94,7.38,-9.29
-2.35,9.78,-12.27
-1.23,5.63,-7.04
-1.97,10.07,-12.55
-1.75,10.07,-12.51
-1.17,7.69,-9.54
-1.35,10.37,-12.83
-1.13,10.42,-12.87
-0.9,10.37,-12.79
-0.68,10.41,-12.83
-0.46,10.39,-12.79
-0.23,10.33,-12.71
-0.01,10.26,-12.63
0.21,10.17,-12.51
0.43,10.26,-12.63
0.65,10.19,-12.55
0.86,10.14,-12.51
1.11,10.39,-12.83
1.32,10.27,-12.71
1.53,10.22,-12.67
1.75,10.2,-12.67
1.99,10.3,-12.83
1.85,8.59,-10.73
2.37,9.98,-12.51
2.53,9.72,-12.23
2.72,9.62,-12.14
2.94,9.64,-12.23
3.06,9.33,-11.88
3.26,9.28,-11.88
3.46,9.24,-11.88
3.52,8.84,-11.44
3.81,9.03,-11.75
3.97,8.91,-11.66
-4.29,9.19,-12.53
-8.87,20.1,-27.24
-48.17,115.58,-155.72
-45.58,116.22,-155.72
-36.4,98.94,-131.89
-23.52,68.4,-90.74
-3.4,10.61,-14.02
-1.88,6.36,-8.36
-2.76,10.1,-13.24
-1.94,7.75,-10.12
-2.32,10.23,-13.31
-2.07,10.17,-13.2
-1.86,10.26,-13.27
-1.64,10.34,-13.35
-1.38,10.19,-13.12
-1.17,10.38,-13.35
-0.92,10.16,-13.05
-0.69,10.17,-13.05
-0.47,10.24,-13.12
-0.24,10.42,-13.35
-0.01,10.27,-13.16
0.22,10.21,-13.08
0.44,10.18,-13.05
0.67,10.2,-13.08
0.9,10.22,-13.12
1.13,10.17,-13.08
1.38,10.34,-13.31
1.6,10.23,-13.2
1.81,10.14,-13.12
2.03,10.06,-13.05
2.29,10.21,-13.27
2.53,10.23,-13.35
2.72,10.05,-13.16
3.02,10.27,-13.5
3.2,10.06,-13.27
3.4,9.95,-13.2
3.66,10.02,-13.35
3.93,10.08,-13.5
3.43,8.28,-11.15
4.27,9.72,-13.16
5.01,10.78,-14.69
-4.44,9.13,-12.98
-13.7,29.75,-42.06
-51.59,118.68,-166.78
-47.34,115.74,-161.75
-24.95,65.02,-90.41
-7.49,20.88,-28.89
-3.57,10.69,-14.72
-3.17,10.24,-14.04
-2.82,9.9,-13.52
-2.59,9.96,-13.56
-2.32,9.82,-13.33
-2.11,9.94,-13.45
-1.86,9.85,-13.29
-1.65,9.99,-13.45
-1.17,8.25,-11.09
-1.16,9.88,-13.25
-0.96,10.21,-13.67
-0.7,9.91,-13.25
-0.47,9.94,-13.29
-0.24,9.95,-13.29
-0.01,9.95,-13.29
0.22,9.74,-13.02
0.45,9.97,-13.33
0.43,6.26,-8.37
0.92,9.92,-13.29
1.16,10.03,-13.45
1.39,10.01,-13.45
1.63,10.05,-13.52
1.85,9.94,-13.41
2.09,9.94,-13.45
2.31,9.88,-13.41
2.55,9.88,-13.45
2.71,9.59,-13.1
3.04,9.92,-13.6
2.81,8.46,-11.65
3.49,9.8,-13.56
2.32,6.09,-8.47
3.92,9.63,-13.45
4.31,9.97,-14.01
3.78,8.25,-11.65
4.87,10.06,-14.3
-4.78,9.39,-13.95
-7.17,14.9,-22.01
-51.94,114.32,-167.92
-47.67,111.48,-162.86
-44.95,112.06,-162.86
-6.21,16.56,-23.95
-3.38,9.69,-13.95
-3.07,9.5,-13.62
-2.85,9.59,-13.69
-2.56,9.41,-13.38
-2.35,9.52,-13.5
-1.52,6.86,-9.7
-1.89,9.57,-13.5
-1.66,9.62,-13.54
-1.4,9.47,-13.31
-1.18,9.55,-13.38
-0.95,9.67,-13.54
-0.72,9.65,-13.5
-0.37,7.49,-10.47
-0.24,9.55,-13.35
-0.01,9.69,-13.54
0.22,9.53,-13.31
0.46,9.61,-13.42
0.69,9.57,-13.38
0.92,9.59,-13.42
0.95,7.89,-11.07
1.4,9.61,-13.5
1.41,8.31,-11.69
1.84,9.46,-13.35
2.1,9.58,-13.54
2.34,9.55,-13.54
2.6,9.62,-13.69
2.32,7.85,-11.21
2.99,9.31,-13.35
2.86,8.25,-11.87
3.51,9.42,-13.62
3.76,9.43,-13.69
4.02,9.45,-13.8
4.3,9.5,-13.95
3.91,8.16,-12.05
4.76,9.39,-13.95
-4.58,8.6,-13.39
-4.82,9.56,-14.8
-49.68,104.34,-160.59
-48.97,109.3,-167.3
-42.98,102.26,-155.72
-5.18,13.18,-19.98
-3.43,9.38,-14.16
-3.06,9.05,-13.59
-2.84,9.11,-13.63
-2.59,9.06,-13.51
-2.35,9.06,-13.47
-2.08,8.93,-13.24
-1.9,9.22,-13.63
-1.65,9.14,-13.47
-1.41,9.13,-13.43
-1.18,9.17,-13.47
-0.94,9.13,-13.39
-0.71,9.19,-13.47
-0.45,8.56,-12.53
-0.25,9.2,-13.47
-0.01,9.1,-13.32
0.22,9.2,-13.47
0.47,9.33,-13.67
0.69,9.17,-13.43
0.93,9.18,-13.47
1.16,9.14,-13.43
1.42,9.29,-13.67
1.63,9.14,-13.47
1.88,9.22,-13.63
2.05,8.91,-13.2
2.35,9.15,-13.59
2.19,7.73,-11.53
2.81,9.08,-13.59
3.02,8.97,-13.47
3.31,9.11,-13.74
3.58,9.17,-13.89
3.7,8.85,-13.47
4.0,8.98,-13.74
3.83,8.09,-12.44
4.49,8.95,-13.85
4.79,9.02,-14.04
-4.3,7.68,-12.57
-5.45,10.28,-16.72
-45.55,91.07,-147.25
-49.78,105.76,-170.06
-44.6,101.01,-161.58
-16.86,40.85,-65.03
-3.41,8.87,-14.06
-3.09,8.69,-13.71
-2.82,8.62,-13.55
-2.52,8.42,-13.2
-2.36,8.68,-13.55
-2.15,8.81,-13.71
-1.56,7.19,-11.16
-1.64,8.62,-13.36
-1.43,8.77,-13.55
-0.72,5.28,-8.15
-0.96,8.79,-13.55
-0.72,8.8,-13.55
-0.48,8.81,-13.55
-0.24,8.69,-13.36
-0.01,8.82,-13.55
0.23,8.92,-13.71
0.47,8.89,-13.67
0.7,8.8,-13.55
0.93,8.8,-13.55
1.17,8.81,-13.59
1.4,8.74,-13.52
1.66,8.85,-13.71
1.85,8.63,-13.4
2.13,8.81,-13.71
2.39,8.88,-13.87
2.6,8.76,-13.71
2.84,8.73,-13.71
3.04,8.62,-13.59
3.33,8.73,-13.83
3.51,8.57,-13.63
3.8,8.65,-13.83
4.08,8.72,-14.02
4.26,8.56,-13.83
4.53,8.6,-13.98
4.87,8.73,-14.28
-4.44,7.53,-12.98
-3.25,5.83,-9.98
-50.8,96.4,-164.2
-49.57,99.95,-169.31
-31.75,68.24,-115.01
-8.49,19.52,-32.73
-2.33,5.76,-9.61
-3.1,8.27,-13.75
-2.8,8.11,-13.44
-2.61,8.26,-13.63
-1.92,6.7,-11.02
-2.14,8.31,-13.63
-1.93,8.43,-13.79
-1.67,8.33,-13.59
-1.42,8.27,-13.48
-1.18,8.24,-13.4
-0.98,8.56,-13.91
-0.73,8.53,-13.83
-0.51,8.77,-14.21
-0.22,7.32,-11.86
-0.01,8.75,-14.18
0.24,8.77,-14.21
0.48,8.75,-14.18
0.73,8.76,-14.21
0.96,8.59,-13.95
1.21,8.65,-14.06
1.44,8.54,-13.91
1.68,8.52,-13.91
1.92,8.5,-13.91
2.16,8.48,-13.91
2.41,8.48,-13.95
2.62,8.38,-13.83
2.91,8.49,-14.06
3.08,8.27,-13.75
3.39,8.43,-14.06
3.62,8.39,-14.06
3.89,8.42,-14.18
4.09,8.3,-14.06
2.66,5.07,-8.63
4.61,8.3,-14.21
4.35,7.41,-12.77
-4.72,7.57,-13.79
-30.39,51.48,-93.23
-43.74,78.52,-141.36
-52.44,100.04,-179.12
-41.11,83.61,-148.92
-17.05,37.11,-65.77
-3.57,8.34,-14.71
-2.38,6.01,-10.57
-2.86,7.83,-13.71
-2.62,7.86,-13.71
-2.37,7.82,-13.59
-2.13,7.82,-13.55
-1.88,7.77,-13.43
-1.67,7.92,-13.67
-1.45,8.03,-13.83
-1.22,8.07,-13.87
-1.02,8.42,-14.44
-0.79,8.72,-14.94
-0.55,8.95,-15.34
-0.28,8.94,-15.3
-0.01,9.16,-15.67
0.23,8.05,-13.79
0.53,9.13,-15.63
0.57,6.46,-11.08
1.04,8.82,-15.14
1.31,8.83,-15.18
1.54,8.64,-14.86
1.78,8.55,-14.75
1.82,7.6,-13.14
2.31,8.58,-14.86
2.55,8.49,-14.75
2.74,8.28,-14.44
3.01,8.32,-14.56
3.22,8.18,-14.37
3.51,8.25,-14.56
3.21,7.02,-12.44
2.73,5.58,-9.93
4.24,8.14,-14.56
4.46,8.05,-14.48
4.78,8.15,-14.75
4.46,7.19,-13.1
-5.49,8.29,-16.02
-17.36,27.72,-53.25
-22.81,38.61,-73.73
-23.05,41.45,-78.72
-9.13,17.51,-33.08
-4.93,10.12,-19.02
-3.05,6.73,-12.59
-3.22,7.67,-14.29
-2.87,7.42,-13.78
-2.59,7.32,-13.54
-2.42,7.54,-13.9
-2.14,7.41,-13.62
-1.9,7.43,-13.62
-1.67,7.44,-13.62
-0.86,4.48,-8.19
-1.22,7.62,-13.9
-1.03,8.04,-14.63
-0.77,7.98,-14.52
-0.82,12.73,-23.12
-0.46,13.99,-25.4
-0.02,15.02,-27.28
0.48,15.93,-28.92
0.92,14.89,-27.06
1.27,13.56,-24.65
1.22,9.72,-17.69
1.87,11.89,-21.67
2.29,12.1,-22.08
1.75,7.89,-14.44
2.68,10.58,-19.39
2.96,10.35,-19.02
3.22,10.13,-18.67
3.47,9.88,-18.27
3.66,9.53,-17.69
4.13,9.89,-18.43
3.65,8.09,-15.14
4.59,9.49,-17.83
4.8,9.26,-17.49
4.98,9.02,-17.11
5.18,8.82,-16.83
5.67,9.11,-17.49
6.51,9.89,-19.11
-6.48,9.2,-18.93
-6.58,9.88,-20.2
-9.91,15.75,-32.03
-12.44,21.0,-42.47
-8.61,15.5,-31.18
-3.03,5.84,-11.7
-3.45,7.14,-14.24
-3.19,7.14,-14.16
-2.85,6.92,-13.68
-2.65,7.03,-13.85
-2.39,6.99,-13.72
-2.14,6.95,-13.6
-1.91,7.01,-13.68
-1.62,6.79,-13.23
-1.45,7.1,-13.81
-1.2,7.05,-13.68
-0.99,7.22,-14.01
-0.83,8.09,-15.66
-0.78,11.32,-21.91
-1.51,42.73,-82.63
-0.09,60.4,-116.79
2.3,71.54,-138.35
4.06,61.67,-119.31
6.83,68.51,-132.65
5.33,39.93,-77.39
10.08,60.18,-116.79
9.44,46.88,-91.14
8.03,34.1,-66.43
8.98,33.29,-65.0
7.89,25.91,-50.73
7.56,22.31,-43.8
8.23,22.01,-43.36
7.49,18.32,-36.21
8.03,18.07,-35.86
8.39,17.49,-34.84
8.49,16.45,-32.93
8.88,16.08,-32.33
8.39,14.25,-28.82
9.26,14.8,-30.09
9.85,14.85,-30.35
12.83,18.3,-37.65
-10.63,14.1,-31.04
-8.62,12.09,-26.45
-6.0,8.91,-19.38
-9.42,14.87,-32.18
-8.65,14.55,-31.32
-5.18,9.32,-19.97
-3.58,6.93,-14.77
-3.26,6.81,-14.46
-2.87,6.52,-13.79
-2.63,6.52,-13.75
-1.73,4.72,-9.92
-2.15,6.52,-13.66
-1.92,6.58,-13.75
-1.27,4.99,-10.4
-1.44,6.59,-13.71
-0.73,3.98,-8.26
-1.01,6.92,-14.34
-0.84,7.63,-15.81
-1.12,15.13,-31.32
-1.31,34.81,-72.02
-0.12,73.03,-151.08
1.57,45.72,-94.58
5.88,83.44,-172.71
8.98,84.23,-174.48
11.9,83.29,-172.71
10.34,57.72,-119.85
16.66,77.29,-160.75
7.73,30.66,-63.88
16.22,56.17,-117.32
7.28,22.36,-46.83
7.92,21.84,-45.86
8.8,22.0,-46.34
8.65,19.77,-41.8
9.75,20.52,-43.55
7.61,14.82,-31.6
11.23,20.34,-43.55
6.99,11.83,-25.45
11.35,18.02,-38.96
7.72,11.53,-25.07
12.64,17.81,-38.96
7.19,9.59,-21.1
-9.7,11.97,-28.34
-4.83,6.3,-14.83
-5.83,8.05,-18.84
-9.21,13.52,-31.45
-8.38,13.11,-30.35
-5.17,8.66,-19.95
-3.71,6.67,-15.3
-2.45,4.76,-10.87
-2.89,6.1,-13.88
-2.67,6.14,-13.92
-1.89,4.81,-10.87
-2.18,6.16,-13.88
-1.95,6.22,-13.97
-1.69,6.16,-13.8
-1.45,6.15,-13.76
-1.23,6.25,-13.97
-0.85,5.38,-12.0
-0.84,7.13,-15.88
-0.89,11.22,-24.98
-0.65,15.95,-35.48
-0.03,19.66,-43.73
0.77,20.92,-46.54
1.55,20.48,-45.58
2.25,19.63,-43.73
2.19,14.23,-31.73
5.97,31.0,-69.23
6.65,28.68,-64.15
4.93,18.17,-40.72
5.0,16.1,-36.17
5.9,16.86,-37.98
6.49,16.65,-37.61
7.73,17.97,-40.72
8.51,18.09,-41.13
9.89,19.36,-44.18
10.64,19.28,-44.18
11.27,18.99,-43.73
7.12,11.21,-25.95
12.87,19.0,-44.18
8.24,11.45,-26.77
13.08,17.14,-40.31
14.61,18.1,-42.84
-10.52,12.0,-30.73
-5.44,6.55,-16.69
-11.13,14.21,-35.96
-9.76,13.25,-33.34
-5.5,7.96,-19.93
-6.65,10.29,-25.65
-3.79,6.31,-15.64
-3.36,6.03,-14.89
-2.93,5.71,-14.06
-1.68,3.58,-8.78
-2.47,5.8,-14.18
-2.18,5.7,-13.9
-1.96,5.77,-14.02
-1.72,5.78,-14.02
-1.46,5.73,-13.86
-0.97,4.56,-11.02
-1.05,6.17,-14.89
-0.88,6.86,-16.54
-0.95,11.07,-26.66
-0.6,13.6,-32.73
-0.03,15.09,-36.31
0.56,13.98,-33.65
1.15,13.97,-33.65
2.08,16.79,-40.47
2.82,16.94,-40.88
3.19,15.32,-37.02
3.76,15.0,-36.31
3.69,12.56,-30.47
4.17,12.43,-30.2
5.49,14.48,-35.28
6.27,14.86,-36.31
7.17,15.4,-37.75
9.27,18.22,-44.81
9.44,17.06,-42.14
10.26,17.17,-42.57
11.32,17.62,-43.9
11.69,17.01,-42.57
12.66,17.27,-43.45
13.11,16.83,-42.57
13.67,16.56,-42.14
13.39,15.34,-39.27
-8.37,8.76,-24.45
-4.59,5.07,-14.07
-9.8,11.49,-31.68
-9.03,11.24,-30.84
-8.67,11.51,-31.4
-7.16,10.17,-27.62
-3.91,5.97,-16.13
-3.37,5.55,-14.94
-2.35,4.2,-11.27
-2.67,5.22,-13.95
-2.48,5.34,-14.23
-2.21,5.3,-14.07
-1.93,5.22,-13.82
-1.7,5.26,-13.91
-1.48,5.33,-14.07
-1.24,5.37,-14.15
-1.04,5.62,-14.78
-0.97,6.93,-18.2
-0.73,7.82,-20.53
-0.4,8.43,-22.12
-0.01,6.26,-16.4
0.35,8.0,-20.98
0.72,8.04,-21.1
0.81,6.03,-15.83
1.3,7.16,-18.81
1.72,7.56,-19.9
2.09,7.66,-20.2
2.96,9.25,-24.45
4.12,11.25,-29.79
5.35,12.96,-34.41
6.29,13.68,-36.44
6.92,13.64,-36.44
7.54,13.59,-36.44
8.91,14.79,-39.8
9.13,14.02,-37.88
9.77,13.96,-37.88
10.3,13.75,-37.51
11.95,14.96,-41.02
12.63,14.88,-41.02
12.79,14.21,-39.41
8.28,8.7,-24.28
-6.87,6.54,-20.06
-4.78,4.81,-14.67
-11.88,12.66,-38.38
-9.14,10.36,-31.22
-8.47,10.23,-30.67
-5.1,6.59,-19.67
-3.63,5.05,-14.99
-3.21,4.81,-14.24
-2.85,4.63,-13.66
-2.66,4.74,-13.91
-2.4,4.71,-13.78
-2.14,4.68,-13.66
-1.93,4.74,-13.78
-1.65,4.64,-13.48
-1.44,4.71,-13.66
-1.21,4.76,-13.78
-0.93,4.56,-13.17
-0.56,3.64,-10.5
-0.34,3.3,-9.52
-0.17,3.25,-9.36
-0.01,2.43,-6.99
0.15,3.05,-8.78
0.28,2.81,-8.1
0.35,2.34,-6.74
0.58,2.92,-8.44
0.66,2.65,-7.67
0.74,2.45,-7.11
1.75,4.99,-14.48
2.23,5.55,-16.14
2.64,5.81,-16.96
3.2,6.34,-18.56
3.58,6.43,-18.87
3.96,6.49,-19.13
4.23,6.38,-18.87
4.51,6.3,-18.71
5.02,6.53,-19.48
4.63,5.62,-16.85
6.13,6.99,-21.05
7.34,7.87,-23.85
8.07,8.17,-24.88
11.55,11.05,-33.88
-5.15,4.42,-15.03
-4.28,3.88,-13.12
-10.52,10.1,-33.98
-10.05,10.25,-34.3
-8.14,8.85,-29.46
-5.74,6.68,-22.12
-3.86,4.83,-15.92
-3.28,4.43,-14.56
-2.99,4.38,-14.32
-2.09,3.35,-10.91
-2.42,4.28,-13.91
-2.18,4.28,-13.86
-1.98,4.38,-14.15
-1.68,4.26,-13.74
-1.44,4.26,-13.69
-1.2,4.26,-13.69
-0.88,3.9,-12.51
-0.59,3.49,-11.18
-0.39,3.37,-10.8
-0.2,3.43,-10.96
-0.01,3.43,-10.96
0.17,3.27,-10.47
0.35,3.17,-10.15
0.54,3.29,-10.53
0.72,3.25,-10.42
0.63,2.28,-7.31
0.72,2.15,-6.91
1.47,3.77,-12.16
1.76,3.93,-12.7
1.97,3.91,-12.65
2.29,4.08,-13.26
2.45,3.96,-12.89
2.75,4.07,-13.3
2.96,4.03,-13.21
3.19,4.02,-13.26
3.42,4.0,-13.26
3.76,4.12,-13.69
3.99,4.1,-13.69
4.37,4.22,-14.2
3.49,3.18,-10.75
6.63,5.71,-19.45
-4.23,3.23,-12.34
-4.53,3.65,-13.9
-9.89,8.45,-31.95
-6.06,5.51,-20.7
-8.52,8.24,-30.84
-4.48,4.64,-17.27
-3.57,3.97,-14.72
-3.26,3.92,-14.48
-2.92,3.82,-14.03
-2.66,3.79,-13.9
-2.47,3.89,-14.19
-2.2,3.85,-14.03
-1.9,3.75,-13.6
-1.7,3.83,-13.86
-1.44,3.8,-13.73
-0.92,2.91,-10.5
-0.9,3.56,-12.83
-0.69,3.59,-12.92
-0.45,3.54,-12.73
-0.23,3.51,-12.64
-0.01,3.49,-12.54
0.21,3.54,-12.73
0.43,3.53,-12.68
0.66,3.54,-12.73
0.58,2.34,-8.42
1.09,3.5,-12.64
1.32,3.52,-12.73
1.56,3.55,-12.87
1.79,3.56,-12.92
2.06,3.64,-13.25
2.22,3.53,-12.87
2.39,3.44,-12.59
2.71,3.57,-13.11
2.94,3.55,-13.11
3.1,3.48,-12.87
3.33,3.47,-12.92
3.64,3.54,-13.25
3.79,3.46,-13.02
4.12,3.54,-13.38
4.51,3.66,-13.9
4.94,3.78,-14.48
-4.34,2.9,-12.67
-4.89,3.45,-14.99
-12.97,9.7,-41.89
-27.13,21.57,-92.62
-8.77,7.43,-31.74
-5.99,5.43,-23.09
-4.01,3.91,-16.54
-3.34,3.51,-14.79
-2.98,3.41,-14.31
-1.62,2.02,-8.45
-2.48,3.41,-14.22
-2.21,3.38,-14.06
-1.96,3.38,-14.02
-1.72,3.4,-14.06
-1.5,3.45,-14.22
-1.21,3.35,-13.8
-0.96,3.3,-13.59
-0.55,2.52,-10.36
-0.49,3.35,-13.76
-0.25,3.31,-13.59
-0.01,3.27,-13.41
0.22,3.27,-13.41
0.46,3.26,-13.41
0.69,3.27,-13.46
0.9,3.17,-13.04
1.13,3.19,-13.14
1.39,3.26,-13.46
1.56,3.12,-12.9
1.81,3.16,-13.09
2.1,3.25,-13.5
1.83,2.54,-10.58
2.5,3.15,-13.18
2.75,3.16,-13.28
2.33,2.47,-10.42
3.26,3.2,-13.54
3.42,3.12,-13.28
2.97,2.53,-10.8
3.93,3.15,-13.5
4.24,3.19,-13.76
4.67,3.31,-14.39
5.74,3.85,-16.83
-4.54,2.6,-13.26
-4.59,2.78,-14.09
-9.03,5.79,-29.16
-8.91,6.08,-30.43
-8.19,5.96,-29.66
-6.82,5.3,-26.27
-3.94,3.29,-16.25
-3.34,3.02,-14.82
-3.01,2.95,-14.42
-2.67,2.86,-13.96
-2.48,2.92,-14.21
-2.21,2.91,-14.09
-1.53,2.26,-10.93
-1.72,2.9,-14.0
-1.46,2.89,-13.92
-0.97,2.31,-11.09
-0.97,2.86,-13.7
-0.72,2.84,-13.61
-0.49,2.84,-13.61
-0.25,2.85,-13.66
-0.01,2.84,-13.61
0.22,2.81,-13.44
0.45,2.77,-13.26
0.7,2.84,-13.61
0.94,2.84,-13.61
1.17,2.83,-13.61
1.22,2.45,-11.78
1.67,2.86,-13.79
1.88,2.82,-13.61
2.1,2.79,-13.53
2.35,2.8,-13.61
2.56,2.77,-13.48
2.78,2.75,-13.44
3.05,2.77,-13.61
3.25,2.73,-13.48
3.51,2.75,-13.61
3.76,2.75,-13.7
3.97,2.72,-13.61
4.29,2.77,-13.92
4.56,2.78,-14.04
5.48,3.16,-16.07
-4.56,2.18,-13.32
-11.17,5.64,-34.27
-9.86,5.28,-31.86
-8.78,4.99,-29.96
-8.49,5.15,-30.75
-7.21,4.68,-27.8
